company_id,company_name,company_location,company_tel
1,(유)슬렉슨,서울특별시 강서구 양천로,02--555--4847
2,(유)아홉,서울특별시 중구 퇴계로22길,02-556-4801
3,(주) 드라마앤컴퍼니,서울특별시 강남구 테헤란로79길,02-556-4202
4,(주)YH데이타베이스,대구광역시 수성구 알파시티1로31길,053-655-8055
5,(주)가비아씨엔에스,경기도 성남시 분당구 대왕판교로,02-6907-6809
6,(주)개미집소프트,서울특별시 영등포구 국제금융로8길,02-6093-5577
7,(주)게임베리,서울특별시 서초구 반포대로26길,07040271027
8,(주)구름,경기도 성남시 분당구 판교로,031-600-8586
9,(주)구름네트웍스,서울특별시 광진구 광나루로36길,024475100
10,(주)그렙,서울특별시 강남구 테헤란로,02--539--1882
11,(주)그리드원,서울특별시 서초구 남부순환로347길,02-2058-2220
12,(주)글로벌테크놀로지,충청남도 아산시 음봉면 월암로436번길,041-415-0990
13,(주)글로브포인트,경기도 고양시 일산동구 태극로,031-911-0601
14,(주)나누고,서울특별시 영등포구 국회대로54길,070-4616-5254
15,(주)나루아이,서울특별시 구로구 디지털로33길,0262381500
16,(주)네비웍스,경기도 안양시 동안구 부림로170번길,031-687-2000
17,(주)네오위드넷,경기도 성남시 분당구 판교역로,025533515
18,(주)넥스티브,서울특별시 강남구 영동대로106길,024643570
19,(주)넷블루,대구광역시 동구 동대구로,053-942-8112
20,(주)넷스루,서울특별시 성동구 광나루로8길,026-243-4160
21,(주)뉴데이소프트,서울특별시 금천구 가산디지털1로,02-6235-4450
22,(주)니어스랩,서울특별시 강남구 논현로,02-566-1574
23,(주)다비오,서울특별시 마포구 백범로,026-376-0101
24,(주)다하미커뮤니케이션즈,서울특별시 중구 마른내로,02-593-4174
25,(주)단감소프트,서울특별시 서초구 남부순환로350길,0216700256
26,(주)더기프팅컴퍼니,서울특별시 성동구 상원12길,070-4738-1661
27,(주)더브릿지소프트,서울특별시 송파구 법원로,070-8899-5572
28,(주)더스윙,서울특별시 성동구 왕십리로,0216884356
29,(주)더커머스,서울특별시 강남구 역삼로,070-7864-3072
30,(주)더하일,서울특별시 마포구 백범로,010-3000-5637
31,(주)데이타프로텍,대구광역시 북구 태전로,031-701-0712
